name,bm_unit,lat,long
Enderby Storage,BFSE01,,
Creyke Beck Battery Storage,AG-MSTK01,,
Lester Way Power Plant,LSTWY-1,,
The Drove Power Plant,TDRVE-1,,
Red Scar Peaking Plant,RDSCR-1,,
Red Scar Battery Storage,AG-HEL00G,,
Hunningley Stairfoot BESS,BARNB-1,53.54841,-1.45007
Dinorwig Power Station,DINO-1,53.117842582,-4.107341766
Dinorwig Power Station,DINO-2,53.117842582,-4.107341766
Dinorwig Power Station,DINO-3,53.117842582,-4.107341766
Dinorwig Power Station,DINO-4,53.117842582,-4.107341766
Dinorwig Power Station,DINO-5,53.117842582,-4.107341766
Dinorwig Power Station,DINO-6,53.117842582,-4.107341766
Peterhead Power Station,PEHE-1,57.4772,-1.78888
Peterhead Power Station,PEHE-2,57.4772,-1.78888
Cruachan Power Station,CRUA-1,56.40638889,-5.11305556
Cruachan Power Station,CRUA-2,56.40638889,-5.11305556
Cruachan Power Station,CRUA-3,56.40638889,-5.11305556
Cruachan Power Station,CRUA-4,56.40638889,-5.11305556
Sizewell B power station,SIZB-1,52.215,1.61972
Sizewell B power station,SIZB-2,52.215,1.61972
Heysham 1 power station,HEYM11,54.0304,-2.91719
Heysham 1 power station,HEYM12,54.0304,-2.91719
Heysham 2 power station,HEYM27,54.0273,-2.91504
Heysham 2 power station,HEYM28,54.0273,-2.91504
Heysham 2 power station,HEYM2D-1,54.0273,-2.91504
Dungeness B power station,DNGB21,50.9134,0.95976
Dungeness B power station,DNGB22,50.9134,0.95976
Dungeness B power station,DNGBD-1,50.9134,0.95976
Conon Valley Hydro Electric Scheme,CAS-CON01,57.554,-4.598
Finlarig power station,FINL-1,56.4816,-4.29872
Hornsea Two Offshore Wind Farm,HOWBO-1,53.91,1.5518
Hornsea Two Offshore Wind Farm,HOWBO-2,53.91,1.5518
Hornsea Two Offshore Wind Farm,HOWBO-3,53.91,1.5518
Griffin Wind Farm,GRIFW-1,56.583251,-3.7435659
Griffin Wind Farm,GRIFW-2,56.583251,-3.7435659
Clashindarroch Wind Farm,CLDRW-1,57.363336,-2.9640069
Dun Law wind farm,DNLWW-1,55.805307,-2.8512555
Harestanes Wind Farm,HRSTW-1,55.244384,-3.5596388
Moy Wind Farm,MOYEW-1,57.406964,-4.0154701
Seagreen Wind Farm,SGRWO-1,56.588,-1.741
Seagreen Wind Farm,SGRWO-2,56.588,-1.741
Seagreen Wind Farm,SGRWO-3,56.588,-1.741
Seagreen Wind Farm,SGRWO-4,56.588,-1.741
Seagreen Wind Farm,SGRWO-5,56.588,-1.741
Seagreen Wind Farm,SGRWO-6,56.588,-1.741
Stronelairg Wind Farm,STLGW-1,,
Stronelairg Wind Farm,STLGW-2,,
Stronelairg Wind Farm,STLGW-3,,
Dorenell Wind Farm,DOREW-1,,
Dorenell Wind Farm,DOREW-2,,
Fallago Rig Wind Farm,FALGW-1,,
Bhlaraidh Wind Farm,BHLAW-1,57.2456,-4.7158
Dogger Bank A Wind Farm,DBAWO-3,54.7489,1.9301
Dogger Bank A Wind Farm,DBAWO-4,54.7489,1.9301
Dogger Bank A Wind Farm,DBAWO-5,54.7489,1.9301
South Kyle Wind Farm,SOKYW-1,,
Dunmaglass Wind Farm,DUNGW-1,,
Brockloch Rig Wind Farm,WISTW-2,,
Kype Muir Wind Farm,KPMRW-1,,
Kype Muir Wind Farm,KYPEW-1,,
Beinneun Wind Farm,BEINW-1,,
Creag Riabhach Wind Farm,CREAW-1,,
Gordonbush Wind Farm,GORDW-1,,
Gordonbush Wind Farm,GORDW-2,,
Corriegarth Wind Farm,CGTHW-1,,
Dersalloch Wind Farm,DRSLW-1,,
Strathy North Wind Farm,STRNW-1,,
Berry Burn Wind Farm,BRYBW-1,,
Galawhistle Wind Farm,GLWSW-1,,
Paul's Hill Wind Farm,PAUHW-1,,
Kennoxhead Wind Farm,KENNW-1,,
Toddleburn Wind Farm,TDBNW-1,55.768,-2.872
Moray West Offshore Wind Farm,MOWWO-1,58.094,-2.988
Moray West Offshore Wind Farm,MOWWO-2,58.094,-2.988
Moray West Offshore Wind Farm,MOWWO-3,58.094,-2.988
Moray West Offshore Wind Farm,MOWWO-4,58.094,-2.988
Andershaw Wind Farm,ASHWW-1,,
Aikengall Community Wind Farm,AKGLW-1,,
Aikengall Community Wind Farm,AKGLW-2,,
Aikengall Community Wind Farm,AKGLW-3,,
Indian Queens Power Station,INDQ-1,50.396,-4.8997
Cottam Development Centre,CDCL-1,53.3062,-0.786
Severn Power Station,SVRP-10,,
Severn Power Station,SVRP-20,,
West Burton A Power Station,WBUPS-1,,
West Burton A Power Station,WBUPS-2,,
West Burton A Power Station,WBUPS-3,,
West Burton A Power Station,WBUPS-4,,
West Burton B Power Station,WBURB-1,,
West Burton B Power Station,WBURB-2,,
West Burton B Power Station,WBURB-3,,
Grangemouth CHP,GRMO-1,,
A’Chruach Wind Farm,ACHRW-1,56.1292,-5.335
Afton Wind Farm,AFTOW-1,,
Blackcraig Wind Farm,BLKWW-1,,
Kilbraur Wind Farm,KILBW-1,,
