bm_unit,repd_site_name,repd_lat,repd_long
E_GLOFW-1,Glens of Foudland,57.42535,-2.63607
E_TULWW-2,Easter Tulloch Wind Farm (Tullo Extension),56.83639,-2.3957
T_FSDLW-1,Freasdail Wind Farm,55.77701,-5.47064
E_BNWKW-1,Burn of Whilk,58.35676,-3.20385
T_COUWW-1,Cour Wind Farm,55.68068,-5.48493
T_ANSUW-1,An Suidhe,56.21867,-5.21937
E_TULWW-1,Tullo,,
E_CLFLW-1,Clachan Flats Wind Farm,56.28809,-4.94289
E_TLYMW-1,Tullymurdoch Wind Farm,56.65491,-3.31341
E_GDSTW-1,Gordonstown Hill Wind Farm,57.46192,-2.48276
2__PENEC001,Rothes Wind (Cairn Uish),57.53726,-3.36296
C__PSMAR001,,,
E_AIRSW-1,,,
E_BTUIW-3,Beinn an Tuirc Phase 2,55.57317,-5.58735
E_CNCLW-1,Coire Na Cloiche Wind Farm,57.76962,-4.37316
E_CRGTW-1,Craig Wind Farm,55.16412,-3.06899
E_GLCHW-1,Glenchamber Wind Farm,54.96342,-4.75433
E_HRHLW-1,Hare Hill (East Ayrshire),55.3628,-4.12628
E_KINCW-1,Kincardine Offshore Wind,,
E_MOYEW-1,Moy Wind Farm (2nd Application),57.38883,-4.0488
T_AFTOW-1,Afton Wind Farm,55.3116,-4.17428
T_AKGLW-3,Aikengall,55.91721,-2.49007
T_BDCHW-1,Bad a Cheo Wind Farm,58.42046,-3.42919
T_CRDEW-1,Crossdykes,55.17615,-3.17287
T_CRDEW-2,Crossdykes,55.17615,-3.17287
T_CRYRW-3,Crystal Rig Extension II,55.91289,-2.54549
T_DNLWW-1,,,
T_DOREW-1,Dorenell Wind Farm (Previously Site A and B Scaut Hill),57.3509,-3.13168
T_DOREW-2,Dorenell Wind Farm (Previously Site A and B Scaut Hill),57.3509,-3.13168
T_EAAO-2,East Anglia 2 (EA 2),52.72099,2.16871
T_GORDW-2,Gordonbush,58.0595,-3.95905
T_HMGTO-1,Humber Gateway A,53.38746,0.50064
T_HMGTO-2,Humber Gateway A,53.38746,0.50064
T_KENNW-1,,,
T_KPMRW-1,Kype Muir Wind Farm,55.63265,-4.0361
T_KTHLW-1,Keith Hill ,55.81727,-2.82546
T_MOWEO-1,,,
T_MOWEO-2,,,
T_MOWEO-3,,,
T_MYGPW-1,Minnygap,55.24877,-3.5148
T_PGBIW-1,Pogbie Wind Farm 1,55.82185,-2.83302
T_PNYCW-1,Pen Y Cymoedd,51.65554,-3.69573
T_THNTO-1,Thanet ,51.42993,1.63341
T_THNTO-2,Thanet ,51.42993,1.63341
T_TKNEW-1,Triton Knoll ,53.21227,0.86164
T_TKNWW-1,Triton Knoll ,53.21227,0.86164
T_TRLGW-1,,,
T_TWSHW-1,,,
T_WDNSO-1,West of Duddon Sands,53.98515,-3.46201
T_WDNSO-2,West of Duddon Sands,53.98515,-3.46201
T_WDRGW-1,Windy Rig Wind Farm ,55.27467,-4.17856
T_WISTW-2,Brochloch Rig (formerly Windy Standard II),55.29221,-4.20315
T_WLNYO-4,Walney 3,54.08999,-3.74001
E_CLDRW-1,Clashindarroch 2,57.38397,-2.93309
T_EAAO-1,East Anglia 1 (EA 1),52.13696,2.1728
T_WLNYW-1,Walney 1,54.03945,-3.51579
T_WLNYO-2,Walney 2,54.08074,-3.60897
