,site_name,development_status,development_status,long,lat,technology_type,capacity,county,region,country
4841,Basingstoke Sewage Treatment Works,Operational,Operational,-1.0343127496879567,51.29166062480992,Anaerobic Digestion,1.20,Hampshire,South East,England
4842,ParkerSteel Shoreham Plant,Operational,Operational,-0.21524116120403364,50.82808042798317,Solar Photovoltaics,1.80,West Sussex,South East,England
4843,Glendye Estate,Awaiting Construction,Planning Permission Granted,-2.5792509555859153,56.96628511199729,Wind Onshore,104.00,Aberdeenshire,Scotland,Scotland
4844,Milford Haven/Blackbridge Biomass,Application Refused,Planning Permission Refused,-5.017997952946491,51.70683094744513,Advanced Conversion Technologies,49.90,Pembrokeshire,Wales,Wales
4845,Acharn Forest Killin Biomass Plant,Operational,Operational,-4.334228809866367,56.45285154195126,Biomass (dedicated),5.60,Stirling,Scotland,Scotland
4846,Bourne Farm,Operational,Operational,-2.395157178991596,50.775581660021324,Solar Photovoltaics,2.40,Dorset,South West,England
4847,Londons Queen Elizabeth II reservoir,Operational,Operational,-0.3095647390977148,51.38971535067676,Solar Photovoltaics,6.30,Surrey,South East,England 
4848,Land at Bryn Lane ,Abandoned,Abandoned,-2.914069424985536,53.04822739304856,Biomass (dedicated),5.40,Clwyd,Wales,Wales
4849,Preston Lodge ,Application Refused,Planning Permission Refused,-0.8353916412726267,52.202859017659705,Solar Photovoltaics,4.50,Northamptonshire,East Midlands,England
4850,Barnfield Solar Park,Operational,Operational,-1.8136095285261902,51.57379062066176,Solar Photovoltaics,2.50,Wiltshire,South West,England
4851,Porth Wen,Under Construction,Under Construction,-4.420160438485901,53.40566367378334,Solar Photovoltaics,49.90,Isle of Anglesey,Wales,Wales
4852,Former Langton Colliery Site,Planning Permission Expired,Planning Permission Expired,-1.3006135454599117,53.09162152034556,Solar Photovoltaics,5.70,Nottinghamshire,East Midlands,England
4853,Norton Bottoms,Application Withdrawn,Planning Application Withdrawn,-1.2874209795741303,54.58390160058276,Solar Photovoltaics,5.00,County Durham,North East,England
4854,West of Rhiwfelin Fach Farm,Operational,Operational,-3.3913939126459867,51.55887983145655,Wind Onshore,1.50,Mid Glamorgan,Wales,Wales
4855,Hunterston Test Centre (Phase 2),Application Withdrawn,Planning Application Withdrawn,-4.884171875488671,55.734013473900625,Wind Onshore,8.00,Strathclyde,Scotland,Scotland
4856,Kingsnorth Industrial Estate,Abandoned,Abandoned,0.6001820427565308,51.425505940849845,Anaerobic Digestion,1.80,Kent,South East,England
4857,Kenly Wind Farm ,Awaiting Construction,Planning Permission Granted,-2.724990597538362,56.309780781683585,Wind Onshore,12.30,Fife,Scotland,Scotland
4858,Arail Farm Road,Application Withdrawn,Planning Application Withdrawn,-3.139229401114264,51.72179486340634,Solar Photovoltaics,5.00,Blaenau Gwent,Wales,Wales
4859,Appley Bridge,Application Withdrawn,Planning Application Withdrawn,-2.727840002834891,53.580963182430544,Advanced Conversion Technologies,4.60,Greater Manchester,North West,England
4860,Hull Biomass Plant (Tansterne power station),Operational,Operational,-0.14647166770828257,53.81904553022352,Biomass (dedicated),22.00,Humberside,Yorkshire and Humber,England
4861,Uskmouth Power Station ,Operational,Operational,-2.9491829203952284,51.54852683052476,Biomass (co-firing),18.00,Gwent,Wales,Wales
4862,Pulteney Distillery ,Operational,Operational,-3.085530845808022,58.43473848450881,Biomass (dedicated),3.50,Highland,Scotland,Scotland
4863,Trowbridge Sewage Treatment Works,Operational,Operational,-2.218189584763221,51.32786984070156,Sewage Sludge Digestion,1.20,Wiltshire,South West,England
4864,Glengesh Lower Forest (Murley),Awaiting Construction,Planning Permission Granted,-7.353521658652188,54.414333641593444,Wind Onshore,20.70,Co. Tyrone,Northern Ireland,Northern Ireland
4865,Highwood Farm,Planning Permission Expired,Planning Permission Expired,-1.3822213168919462,52.411392143930684,Solar Photovoltaics,1.30,Warwickshire,West Midlands,England
4866,Hopsrig Wind Farm,Revised,Revised,-3.140457002149733,55.18701508082701,Wind Onshore,42.00,Dumfries and Galloway,Scotland,Scotland
4867,Avondale Quarry (Pilot),Operational,Operational,-3.6788730613193903,55.990264837124585,Advanced Conversion Technologies,2.00,Falkirk,Scotland,Scotland
4868,Bowburn,Planning Permission Expired,Planning Permission Expired,-1.5289808373539708,54.7315124586355,Solar Photovoltaics,5.00,County Durham,North East,England
4869,Drumcairn Road,Planning Permission Expired,Planning Permission Expired,-6.6716478587129195,54.36871873008147,Solar Photovoltaics,1.00,Co. Armagh,Northern Ireland,Northern Ireland
4870,Marshill Farm,Operational,Operational,-3.9333650160309537,55.68710418760375,Wind Onshore,1.50,South Lanarkshire,Scotland,Scotland
4871,Former Templeborough Steel Works,Awaiting Construction,Planning Permission Granted,-1.3918244293290865,53.419049311626495,Advanced Conversion Technologies,23.00,South Yorkshire,Yorkshire and Humber,England
4872,Popehill Farm,Operational,Operational,-4.987711946588945,51.7737381493029,Solar Photovoltaics,5.00,Pembrokeshire,Wales,Wales
4873,"GAP House, Nest Road",Abandoned,Abandoned,-1.5654151509979632,54.95881743961027,Anaerobic Digestion,,Tyne and Wear,North East,England
4874,Achnabreck,Planning Permission Expired,Planning Permission Expired,-5.336051249390195,56.06171979673453,Advanced Conversion Technologies,5.50,Argyll and Bute,Scotland,Scotland
4875,Waltham Point Distribution Centre,Operational,Operational,-0.00881073998036944,51.679382264347396,Solar Photovoltaics,1.80,Essex,Eastern,England
4876,Kingmoor Park,Planning Permission Expired,Planning Permission Expired,-2.9675855555393182,54.923856742337854,Advanced Conversion Technologies,22.00,Cumbria,North West,England
4877,Catsfield Solar Farm ,Appeal Refused,Appeal Refused,0.44373535463680003,50.89268528306771,Solar Photovoltaics,3.80,East Sussex,South East,England
4878,"Bridge House, Muasdale, Tarbert, Strathclyde",Revised,Revised,-5.619049989295173,55.61404944290963,Wind Onshore,47.60,Argyll and Bute,Scotland,Scotland
4879,Checkley Wood Farm,Operational,Operational,-0.6314440580514508,51.95486882245805,Wind Onshore,4.10,Bedfordshire,Eastern,England
4880,Altmore Road,Abandoned,Abandoned,-6.968765924406192,54.57078906304153,Solar Photovoltaics,4.90,Co. Tyrone,Northern Ireland,Northern Ireland
4881,Knostrop Sewage Treatment Works,Operational,Operational,-1.4912222428766577,53.7814570647734,Anaerobic Digestion,4.00,West Yorkshire,Yorkshire and Humber,England
4882,Knottingley B,Operational,Operational,-1.2422786031446444,53.702771815013115,Solar Photovoltaics,2.40,West Yorkshire,Yorkshire and Humber,England
4883,Higher Humber Farm,Appeal Refused,Appeal Refused,-3.5723854910950177,50.562640375431265,Solar Photovoltaics,5.90,Devon,South West,England
4884,Plot 8 Protos/Ince Marshes ,Under Construction,Under Construction,-2.8264221889468444,53.282928841415384,EfW Incineration,35.00,Cheshire,North West,England
4885,Western International Market,Operational,Operational,-0.40807749688864087,51.4960264484464,Solar Photovoltaics,1.70,London,London,England
4886,Land East of Horton Road ,Operational,Operational,-0.7950657021276324,52.205457157357294,Solar Photovoltaics,4.90,Northamptonshire,East Midlands,England
4887,Tully Quarry,Operational,Operational,-6.198551599229138,54.83709084147088,Anaerobic Digestion,3.00,Co. Antrim,Northern Ireland,Northern Ireland
4888,Harryburn Wind Farm,Appeal Refused,Appeal Refused,-3.7159700296080587,55.45195330900031,Wind Onshore,67.00,South Lanarkshire,Scotland,Scotland
4889,Kincardine Offshore Windfarm,Operational,Operational,-1.873801048322221,56.99728039212569,Wind Offshore,49.50,Offshore,Offshore,Scotland
4890,Hameldon Hill Wind Farm (extension 2),Planning Permission Expired,Planning Permission Expired,-2.2865554737457887,53.76321856422562,Wind Onshore,7.10,Lancashire,North West,England
4891,Harbour Road,Operational,Operational,-4.681434775499163,55.547139078393755,Biomass (dedicated),2.60,South Ayrshire,Scotland,Scotland
4892,Corlacky Hill Wind Farm,Awaiting Construction,Planning Permission Granted,-6.724146696836066,54.89832929350401,Wind Onshore,36.30,Co. Derry / Londonderry,Northern Ireland,Northern Ireland
4893,Pines Burn Wind Farm,Awaiting Construction,Appeal Granted,-2.7302677448961634,55.35374307693845,Wind Onshore,33.00,Scottish Borders,Scotland,Scotland
4894,Land at Wicks Farm,Planning Permission Expired,Planning Permission Expired,-0.5957684213420166,50.8272820554514,Anaerobic Digestion,1.50,West Sussex,South East,England
4895,Crowland Street,Abandoned,Abandoned,-2.9593048013197825,53.64318568597236,Anaerobic Digestion,1.60,Merseyside,North West,England
4896,Lands at Ballyutoag Road,Awaiting Construction,Planning Permission Granted,-6.009294218019147,54.64343836849547,Wind Onshore,2.30,Co. Antrim,Northern Ireland,Northern Ireland
4897,Michelin Tyres ,Abandoned,Abandoned,-2.8921313098910932,56.48331258211862,Solar Photovoltaics,,Tayside,Scotland,Scotland
4898,Moray West Offshore Wind Farm Project,Under Construction,Under Construction,-3.313066434753212,58.06988779060064,Wind Offshore,882.00,Offshore,Offshore,Scotland
4899,Navidale Estate,Planning Permission Expired,Planning Permission Expired,-3.6451965627831524,58.14516389562802,Wind Onshore,1.00,Highland,Scotland,Scotland
4900,Llwyncelyn Wind Farm,Revised,Revised,-3.3987080279382904,51.6157477866859,Wind Onshore,5.00,Rhondda Cynon Taff,Wales,Wales
4901,Crossness Sewage Works,Operational,Operational,0.14212581996591314,51.502167745647874,Sewage Sludge Digestion,5.70,London,London,England
4902,Salford Road,Operational,Operational,-2.426909346694307,53.579881344706166,Solar Photovoltaics,1.60,Greater Manchester,North West,England
4903,Grove Solar Park (Phase 2),Operational,Operational,-1.4789903534341355,50.96361757264974,Solar Photovoltaics,11.00,Hampshire,South East,England
4904,Barnsley 1.5 ,Operational,Operational,-1.5145936186540137,53.56798440468075,Biomass (dedicated),9.00,South Yorkshire,Yorkshire and Humber,England
4905,Spalding,Operational,Operational,-0.14412061775109855,52.77299790206628,Biomass (dedicated),14.50,Lincolnshire,East Midlands,England
4906,Balderton,Operational,Operational,-0.8106989751825918,53.04795639275673,Biomass (dedicated),20.30,Nottinghamshire,East Midlands,England
4907,"The Nurseries, Green Tye",Operational,Operational,0.09183808083152484,51.845854523611806,Anaerobic Digestion,1.20,Hertfordshire,Eastern,England
4908,Cressing Solar Farm (Phase 2),Abandoned,Abandoned,0.6010981682960144,51.8408178678997,Solar Photovoltaics,18.00,Essex,Eastern,England
4909,Solar Farm at Fields Farm (Phase 2),Abandoned,Abandoned,-1.4102246081688612,52.24492665480508,Solar Photovoltaics,3.80,Warwickshire,West Midlands,England
4910,Outwood Farm (Phase 2),Awaiting Construction,Planning Permission Granted,0.44669119867350693,51.62189720849054,Solar Photovoltaics,7.00,Essex,Eastern,England
4911,Baldovie Industrial Estate (Forties Road),Under Construction,Under Construction,-2.9017432035647883,56.48465369424589,EfW Incineration,10.00,Tayside,Scotland,Scotland
4912,Williams Farm,Operational,Operational,-2.9212966618377423,53.02897920216261,Solar Photovoltaics,5.00,Clwyd,Wales,Wales
4913,Woodlands Wind Farm,Operational,Operational,-3.910458129664787,55.63329830487039,Wind Onshore,2.60,South Lanarkshire,Scotland,Scotland
4914,Kirton Solar PV Farm,Operational,Operational,-0.09660389918141687,52.93227096220664,Solar Photovoltaics,3.20,Lincolnshire,East Midlands,England
4915,Over Hill Wind Farm,Revised,Revised,-4.341849569243193,55.372291023403555,Wind Onshore,33.00,East Ayrshire,Scotland,Scotland
4916,Longburn Wind Farm,Appeal Refused,Appeal Refused,-4.253207066674211,55.186581206451656,Wind Onshore,23.00,Dumfries and Galloway,Scotland,Scotland
4917,Cairnmore Hill Wind Farm ,Revised,Revised,-3.620787973152243,58.596345164126106,Wind Onshore,33.60,Highland,Scotland,Scotland
4918,Sandwick North St Community wind turbine,Awaiting Construction,Planning Permission Granted,-6.756785879357207,58.27555807200423,Wind Onshore,5.00,Western Isles,Scotland,Scotland
4919,Hams Hall National Distribution Park,Awaiting Construction,Planning Permission Granted,-1.7010414084639682,52.52137053566881,Advanced Conversion Technologies,14.50,Warwickshire,West Midlands,England
4920,Bury Green Farm Solar,Operational,Operational,-0.13700780116896502,52.45142219153886,Solar Photovoltaics,5.00,Cambridgeshire,Eastern,England
4921,Misson Solar Farm,Operational,Operational,-0.9810293775769658,53.44544781230543,Solar Photovoltaics,5.00,Nottinghamshire,East Midlands,England
4922,Beckton STW Enhanced Sludge Digestion,Operational,Operational,0.07991012209364472,51.52563480479313,Sewage Sludge Digestion,5.80,London,London,England
4923,Stockton Court Farm ,Application Withdrawn,Planning Application Withdrawn,-2.4180438082700215,52.302368439137865,Solar Photovoltaics,5.00,Hereford and Worcester,West Midlands,England
4924,Liberty Steel Power Station,Operational,Operational,-2.9625154881039255,51.56114139733407,Biomass (dedicated),9.00,Gwent,Wales,Wales
4925,Uskmouth Power Station (ACT Plant),Abandoned,Abandoned,-2.9672318846199732,51.550222689279565,Advanced Conversion Technologies,8.00,Gwent,Wales,Wales
4926,Barony ,Appeal Refused,Appeal Refused,-7.0988566357830605,54.66131478041302,Wind Onshore,9.20,Co. Tyrone,Northern Ireland,Northern Ireland
4927,Dunbeg Extension,Awaiting Construction,Planning Permission Granted,-6.879037832127678,55.08062563225018,Wind Onshore,9.00,Co. Derry / Londonderry,Northern Ireland,Northern Ireland
4928,Tullyneil,Application Withdrawn,Planning Application Withdrawn,-6.61539777180943,54.20941718749056,Wind Onshore,13.80,Co. Armagh,Northern Ireland,Northern Ireland
4929,Lancaster Wastewater Treatment Works,Operational,Operational,-2.8172171068220506,54.02070114593558,Solar Photovoltaics,1.20,Lancashire,North West,England
4930,Manor Powis,Application Withdrawn,Planning Application Withdrawn,-3.8895454892097554,56.133882631240695,Solar Photovoltaics,5.00,Stirling,Scotland,Scotland
4931,CF Fertilizer site,Awaiting Construction,Planning Permission Granted,-2.788309475062949,53.283735269636715,Anaerobic Digestion,2.00,Cheshire,North West,England
4932,Navidale,Appeal Refused,Appeal Refused,-3.646856240001747,58.12187587995079,Wind Onshore,15.00,Highland,Scotland,Scotland
4933,Gaineamhach Hydro Scheme Powerhouse,Revised,Revised,-5.624328118717118,57.65991733249145,Small Hydro,2.00,Highland,Scotland,Scotland
4934,Conwy Falls,Application Withdrawn,Planning Application Withdrawn,-3.795635510721393,53.07416328342204,Large Hydro,5.00,Gwynedd,Wales,Wales
4935,Wood Lane Quarry,Application Withdrawn,Planning Application Withdrawn,-2.8603879028812926,52.88739234515041,Biomass (dedicated),5.00,Shropshire,West Midlands,England
4936,Whitman Laboratories,Operational,Operational,-0.9515011561829344,51.005990740299275,Solar Photovoltaics,1.00,Hampshire,South East,England
4937,Wapseys Wood,Appeal Refused,Appeal Refused,-0.5947791247070592,51.587801376184686,Anaerobic Digestion,1.00,Buckinghamshire,South East,England
4938,Former Huntsman Tioxide Site,Abandoned,Abandoned,-0.10269706242696854,53.582115056959566,Advanced Conversion Technologies,8.00,Humberside,Yorkshire and Humber,England
4939,Binsted Farm,Operational,Operational,-0.6060671002593125,50.83380857450802,Solar Photovoltaics,5.00,West Sussex,South East,England
4940,Gilston Hill Wind Farm,Appeal Refused,Appeal Refused,-2.8927563000853818,55.80619863741514,Wind Onshore,21.00,Scottish Borders,Scotland,Scotland
4941,Tormywheel Wind Farm Extension,Awaiting Construction,Planning Permission Granted,-3.6831120481353645,55.80097418413253,Wind Onshore,5.00,West Lothian,Scotland,Scotland
4942,Tyseley Urban Resource Centre,Planning Permission Expired,Planning Permission Expired,-1.8380082922436165,52.45521016060009,Advanced Conversion Technologies,6.00,West Midlands,West Midlands,England
4943,Billingham Chemical Works,Operational,Operational,-1.2741735855030596,54.59101251758765,EfW Incineration,12.00,County Durham,North East,England
4944,Pengelly Barton Farm,Operational,Operational,-5.3398329291819016,50.14222619903111,Anaerobic Digestion,1.00,Cornwall,South West,England
4945,Godsfield Solar Farm,Application Withdrawn,Planning Application Withdrawn,-1.136304210939824,51.134933066059986,Solar Photovoltaics,11.77,Hampshire,South East,England
4946,Howpark Wind Farm,Under Construction,Under Construction,-2.2809567174548158,55.897647671117255,Wind Onshore,16.00,Scottish Borders,Scotland,Scotland
4947,Levenseat Waste Management Facility,Operational,Operational,-3.694379696326599,55.79996568758485,Advanced Conversion Technologies,17.00,West Lothian,Scotland,Scotland
4948,West Grange Solar Farm ,Abandoned,Abandoned,-3.63536375571611,56.09045950186907,Solar Photovoltaics,5.00,Fife,Scotland,Scotland
4949,Bloomfield Recycling Site,Planning Permission Expired,Planning Permission Expired,-2.051706459305613,52.71288504301491,Biomass (dedicated),1.00,Staffordshire,West Midlands,England
4950,Bloomfield Recycling Site,Planning Permission Expired,Planning Permission Expired,-2.051706459305613,52.71288504301491,Anaerobic Digestion,1.50,Staffordshire,West Midlands,England
4951,Hoddlesdon Moss ,Application Withdrawn,Planning Application Withdrawn,-2.412167005734577,53.68055683607942,Wind Onshore,2.70,Lancashire,North West,England
4952,Stretton Sugwas Solar Farm,Application Withdrawn,Planning Application Withdrawn,-2.7909461767662624,52.074515925307274,Solar Photovoltaics,1.00,Hereford and Worcester,West Midlands,England
4953,Teesside Bio Power,Application Withdrawn,Planning Application Withdrawn,-1.1971591132864159,54.61343434276394,Advanced Conversion Technologies,28.00,County Durham,North East,England
4954,JG Pears' animal rendering facility,Operational,Operational,-0.7981156125823409,53.21376745406104,Biomass (dedicated),12.00,Nottinghamshire,East Midlands,England
4955,Blazer Fuels ,Operational,Operational,-3.323011657225335,53.12125230528414,Biomass (dedicated),3.00,Denbighshire,Wales,Wales
4956,Oakfield Farm,Operational,Operational,-2.8102500199923552,53.77185037777891,Solar Photovoltaics,5.00,Lancashire,North West,England
4957,Oakfield Farm - extension,Operational,Operational,-2.8066309120702644,53.77222533188894,Solar Photovoltaics,1.70,Lancashire,North West,England
4958,Minsworth Sewage Treatment Works,Operational,Operational,-1.753951238893514,52.53183961517251,Sewage Sludge Digestion,9.70,West Midlands,West Midlands,England
4959,Stour Row Solar Farm,Planning Permission Expired,Planning Permission Expired,-2.2523390941132244,50.983236161972904,Solar Photovoltaics,12.00,Dorset,South West,England
4960,Hoy Farm,Application Refused,Planning Permission Refused,-3.355015836898533,58.548905960927506,Wind Onshore,2.30,Highland,Scotland,Scotland
4961,Former Westhampnett Landfill,Operational,Operational,-0.743251225797488,50.847417063603125,Solar Photovoltaics,7.50,West Sussex,South East,England
4962,Bentley Motors,Operational,Operational,-2.4722375894119506,53.1058969184996,Solar Photovoltaics,2.90,Cheshire,North West,England
4963,South Beach Parade/South Denes Rd,Application Withdrawn,Planning Application Withdrawn,1.7361673265097457,52.59449646972308,Biomass (dedicated),5.50,Norfolk,Eastern,England
4964,Ingham North Solar ,Awaiting Construction,Planning Permission Granted,0.7108556838939589,52.31900667145238,Solar Photovoltaics,14.20,Suffolk,Eastern,England
4965,Cairnandrew Wind Farm ,Revised,Revised,-2.4177058465253825,57.63131258004307,Wind Onshore,1.50,Aberdeenshire,Scotland,Scotland
4966,Showground Road,Under Construction,Under Construction,-2.987467124093554,51.110695132814854,EfW Incineration,7.80,Somerset,South West,England
4967,Hangmans Lane,Under Construction,Under Construction,-2.2471216273945327,52.09425458979363,EfW Incineration,5.00,Hereford and Worcester,West Midlands,England
4968,Craigneil Hill,Application Submitted,Planning Application Submitted,-2.3292882719949075,57.00971112921559,Wind Onshore,38.00,Aberdeenshire,Scotland,Scotland
4969,Bowesfield Ind Est,Planning Permission Expired,Planning Permission Expired,-1.3121992373382392,54.54860909657809,EfW Incineration,2.60,County Durham,North East,England
4970,Dobies Business Park,Application Withdrawn,Planning Application Withdrawn,-3.525743867374133,54.60883182810958,Wind Onshore,1.60,Cumbria,North West,England
4971,Westfield (former Opencast Coal Mine),Under Construction,Under Construction,-3.26087478907678,56.1492856518713,EfW Incineration,23.70,Fife,Scotland,Scotland
4972,Dounreay Trì Floating Wind Demonstration,Under Construction,Under Construction,-3.8768047012892892,58.69835018025566,Wind Offshore,10.00,Offshore,Offshore,Scotland
4973,Sutton Heath Road,Awaiting Construction,Planning Permission Granted,-2.7395805931030646,53.442700322203265,EfW Incineration,15.00,Merseyside,North West,England
4974,Slip Inn Quarry,Abandoned,Abandoned,-1.2016012861594678,52.48611645176383,Anaerobic Digestion,2.00,Leicestershire,East Midlands,England
4975,Former Gas Works site on Aire Valley Road,Revised,Revised,-1.8869977298606393,53.870662764436034,EfW Incineration,10.00,West Yorkshire,Yorkshire and Humber,England
4976,Loicher Lane,Operational,Operational,-1.4523342789976366,53.44426743557124,Biomass (dedicated),8.00,South Yorkshire,Yorkshire and Humber,England
4977,Rothes Wind Farm III,Awaiting Construction,Planning Permission Granted,-3.3204007461124294,57.51525742392161,Wind Onshore,132.00,Moray,Scotland,Scotland
4978,Kingspan Insulation,Awaiting Construction,Planning Permission Granted,-1.2244651996553662,53.7949944206731,Advanced Conversion Technologies,48.00,North Yorkshire,Yorkshire and Humber,England
4979,Howdon Green Energy Park,Abandoned,Abandoned,-1.4820398060062832,54.98912544396968,Advanced Conversion Technologies,25.00,Tyne and Wear,North East,England
4980,Gortahurk Road,Operational,Operational,-7.540228648972892,54.21948408445066,Anaerobic Digestion,1.50,Co. Fermanagh,Northern Ireland,Northern Ireland
4981,Bumpers Farm Phase 2,Awaiting Construction,Appeal Granted,-0.8963241344824314,51.74831346750608,Solar Photovoltaics,12.00,Buckinghamshire,South East,England
4982,Killean,Revised,Revised,-5.614033994426017,55.64203588156544,Wind Onshore,56.00,Argyll and Bute,Scotland,Scotland
4983,Willowbrook Industrial Estate East ,Revised,Revised,-0.6614936366367965,52.508004729361765,Advanced Conversion Technologies,16.40,Northamptonshire,East Midlands,England
4984,South Denes Road,Application Withdrawn,Planning Application Withdrawn,1.7317422295917395,52.58345563642604,Advanced Conversion Technologies,6.00,Norfolk,Eastern,England
4985,Fauch Hill,Appeal Refused,Appeal Refused,-3.49674763190965,55.802431899283555,Wind Onshore,48.00,West Lothian,Scotland,Scotland
4986,Curryfree Wind Farm (co-location) ,Planning Permission Expired,Planning Permission Expired,-7.316700376839917,54.929298025926826,Solar Photovoltaics,3.00,Co. Derry / Londonderry,Northern Ireland,Northern Ireland
4987,Accolade Wines,Operational,Operational,-2.6890706101627475,51.516993524383885,Wind Onshore,2.50,Avon,South West,England
4988,Kemsley Mill,Application Refused,Planning Permission Refused,0.7588703484555561,51.366887548572805,EfW Incineration,75.00,Kent,South East,England
4989,Thanet (extension),Application Refused,Planning Permission Refused,1.5926746500222178,51.42061938016608,Wind Offshore,340.00,Offshore,Offshore,England
4990,Cwmbargoed Disposal Point,Appeal Refused,Appeal Refused,-3.321142082715228,51.74680188536985,Wind Onshore,1.50,Mid Glamorgan,Wales,Wales
4991,Former Wealden Brickworks Site,Revised,Revised,-0.329691096032874,51.09650977095711,EfW Incineration,21.00,West Sussex,South East,England
4992,Kelvin Energy Recovery Facility,Under Construction,Under Construction,-1.9974221867047466,52.50740850059778,EfW Incineration,47.00,West Midlands,West Midlands,England
4993,Hartwood Windfarm,Planning Permission Expired,Planning Permission Expired,-3.839981175740753,55.81260166487503,Wind Onshore,21.00,North Lanarkshire,Scotland,Scotland
4994,DPD Distribution Centre,Operational,Operational,-2.0090024065786434,52.50684179571255,Solar Photovoltaics,1.00,West Midlands,West Midlands,England
4995,Craigannet Farm Wind Turbine,Operational,Operational,-4.068480838632538,56.04545237288468,Wind Onshore,1.50,Stirling,Scotland,Scotland
4996,Bywaters Materials Recovery Facility Solar Array,Operational,Operational,-0.006929891210632332,51.52208870914729,Solar Photovoltaics,1.00,London,London,England
4997,High Meadow Farm,Operational,Operational,-1.3775473257677908,54.59121054642608,Solar Photovoltaics,4.00,County Durham,North East,England
4998,Eggborough (Former Abre Biomass Facility),Planning Permission Expired,Planning Permission Expired,-1.1411476033286578,53.71112304162158,Advanced Conversion Technologies,10.00,North Yorkshire,Yorkshire and Humber,England
4999,Beinn Thulabaigh Wind Turbine,Awaiting Construction,Planning Permission Granted,-6.480196370995114,58.20495029133363,Wind Onshore,5.00,Western Isles,Scotland,Scotland
5000,Burnfoot East Wind Farm (further extension),Operational,Operational,-3.759966805831697,56.20911411114308,Wind Onshore,10.80,Clackmannanshire,Scotland,Scotland
5001,Carrickatane,Planning Permission Expired,Planning Permission Expired,-7.321064946231789,54.90760669407429,Solar Photovoltaics,4.10,Co. Derry / Londonderry,Northern Ireland,Northern Ireland
5002,Longhill Burn Wind Farm,Under Construction,Under Construction,-3.628238700321851,55.81340439349009,Wind Onshore,45.60,West Lothian,Scotland,Scotland
5003,Deep Moor Landfill Site ,Operational,Operational,-4.095055157185855,50.968131104117134,Solar Photovoltaics,2.00,Devon,South West,England
5004,Testwood Water Supply Works,Operational,Operational,-1.4979226557643255,50.93249685579575,Solar Photovoltaics,1.90,Hampshire,South East,England
5005,Maesgwyn Wind Farm - extension (Phase 2),Planning Permission Expired,Planning Permission Expired,-3.6442351263179544,51.74055755942916,Wind Onshore,7.00,Neath Port Talbot,Wales,Wales
5006,Ardtaraig Wind Farm ,Appeal Refused,Appeal Refused,-5.151627150217977,56.02467952515811,Wind Onshore,29.40,Argyll and Bute,Scotland,Scotland
5007,Tilbury Docks - Phase 2 (EfW),Planning Permission Expired,Planning Permission Expired,0.34563998880546865,51.464503728982784,EfW Incineration,30.00,Essex,Eastern,England
5008,Milltown Airfield (Speyslaw),Awaiting Construction,Planning Permission Granted,-3.2353006460943328,57.673317229859904,Solar Photovoltaics,50.00,Moray,Scotland,Scotland
5009,Penyrheol Las Farm,Appeal Refused,Appeal Refused,-3.2466656237952667,51.61227297692414,Wind Onshore,1.00,Caerphilly,Wales,Wales
5010,Barrel Law Wind Farm,Appeal Refused,Appeal Refused,-2.9311874857066593,55.45051299443009,Wind Onshore,24.50,Scottish Borders,Scotland,Scotland
5011,Beltonanean 2,Planning Permission Expired,Planning Permission Expired,-6.887622621765455,54.68567107595323,Wind Onshore,2.30,Co. Tyrone,Northern Ireland,Northern Ireland
5012,Neilson Biogas Park Farm AD ,Application Withdrawn,Planning Application Withdrawn,-4.171875133604975,55.72302822598011,Anaerobic Digestion,1.00,South Lanarkshire,Scotland,Scotland
5013,Cleeve Road,Planning Permission Expired,Planning Permission Expired,-1.8925485339063244,52.11971981909709,Solar Photovoltaics,3.70,Hereford and Worcester,West Midlands,England
5014,Moody Lane (Former Acordis site),Revised,Revised,-0.13735372322015832,53.59375296791387,EfW Incineration,18.00,Humberside,Yorkshire and Humber,England
5015,White Horse Lane (Trowse) - Phase 2,Awaiting Construction,Planning Permission Granted,1.3063554996237206,52.60512130631883,Solar Photovoltaics,9.00,Norfolk,Eastern,England
5016,Armadale Wind Farm,Application Withdrawn,Planning Application Withdrawn,-4.076945359372497,58.534749119297196,Wind Onshore,43.20,Highland,Scotland,Scotland
5017,Priestgill Wind Farm,Awaiting Construction,Appeal Granted,-3.6507039215056145,55.5112113909525,Wind Onshore,46.20,South Lanarkshire,Scotland,Scotland
5018,Ystradffin Hydropower Project,Under Construction,Under Construction,-3.788270590154028,52.09776827065323,Small Hydro,1.80,Carmarthenshire,Wales,Wales
5019,Safran Landing Systems Service,Operational,Operational,-2.171690168781165,51.897806873348564,Biomass (dedicated),3.60,Gloucestershire,South West,England
5020,Former Croda site,Planning Permission Expired,Planning Permission Expired,-1.1112448970709938,54.593161606733055,Anaerobic Digestion,,Cleveland,North East,England
5021,Rosedew Farm,Operational,Operational,-3.470745115664373,51.39759959723116,Solar Photovoltaics,5.00,Vale of Glamorgan,Wales,Wales
5022,Clash Gour,Awaiting Construction,Planning Permission Granted,-3.535323028216568,57.48497520863046,Wind Onshore,225.00,Moray,Scotland,Scotland
5023,Clashindarroch 2 ,Awaiting Construction,Appeal Granted,-2.933094218827828,57.38396981671971,Wind Onshore,77.00,Grampian,Scotland,Scotland
5024,Pengarnddu Industrial Estate - Biomass Recycling Plant ,Decommissioned,Decommissioned,-3.3390552633852435,51.77159585269245,Advanced Conversion Technologies,1.00,Mid Glamorgan,Wales,Wales
