,site_name,development_status,development_status,long,lat,technology_type,capacity,county,region,country
42,Winkleigh Biogas Generator,Appeal Withdrawn,Appeal Withdrawn,-3.966948690333939,50.86746566240218,Advanced Conversion Technologies,23.00,Devon,South West,England
43,Western Wood Energy Plant,Operational,Operational,-3.7626210555485953,51.56753953504322,Biomass (dedicated),14.00,West Glamorgan,Wales,Wales
44,Eccleshall Biomass,Operational,Operational,-2.246724783608759,52.874647998240654,Biomass (dedicated),2.60,Staffordshire,West Midlands,England
45,Charlton Sawmill,Abandoned,Abandoned,-2.398575559515967,51.26583649766826,Biomass (dedicated),7.00,Somerset,South West,England
46,Burnside Farm Biomass Plant,Abandoned,Abandoned,-5.162784526092429,55.5722857552033,Biomass (dedicated),2.50,Strathclyde,Scotland,Scotland
47,Westfield Biomass Power Station,Operational,Operational,-3.3051099410682068,56.14170091124371,Biomass (dedicated),12.50,Fife,Scotland,Scotland
48,Derriford Hospital,Operational,Operational,-4.113684475426827,50.416719948823165,Biomass (dedicated),1.50,Devon,South West,England
49,Gortahar Road,Planning Permission Expired,Planning Permission Expired,-6.46847146024337,54.96680679448679,Biomass (dedicated),2.50,Co. Antrim,Northern Ireland,Northern Ireland
50,Rampton Hospital Energy Centre,Operational,Operational,-0.8382125884467737,53.29038534480032,Biomass (dedicated),1.20,Nottinghamshire,East Midlands,England
51,Upper Geiselittle Biomass Plant,Abandoned,Abandoned,-3.506233814679493,58.56939911271938,Biomass (dedicated),1.00,Highland,Scotland,Scotland
52,Oak Grove Biomass Facility,Operational,Operational,1.3564188800579515,52.768629939523784,Anaerobic Digestion,2.00,Norfolk,Eastern,England
53,Honda Energy Centre (biomass),Abandoned,Abandoned,-1.7339589836823108,51.58858991783545,Advanced Conversion Technologies,4.50,Wiltshire,South West,England
54,Sankey Valley Industrial Estate,Application Refused,Planning Permission Refused,-2.6399959536140547,53.44804851972918,Biomass (dedicated),4.80,Merseyside,North West,England
55,Roves Farm,Abandoned,Abandoned,-1.7067675179989679,51.61287373866808,Biomass (dedicated),2.00,Wiltshire,South West,England
56,Land at Grange Farm,Operational,Operational,-0.5362871852437249,53.33610925114849,Anaerobic Digestion,1.10,Lincolnshire,East Midlands,England
57,Consett Power Station,Abandoned,Abandoned,-1.8349114136799165,54.842901862712324,Biomass (dedicated),10.00,County Durham,North East,England
58,Byreshield Grains Woodgen,Application Withdrawn,Planning Application Withdrawn,-2.5035824147562065,55.14480617648969,Biomass (dedicated),6.10,Northumberland,North East,England
59,Hexham Biofuel Power Station,Application Withdrawn,Planning Application Withdrawn,-2.2595912063445684,54.89612378091332,Biomass (dedicated),10.00,Northumberland,North East,England
60,Elean Business Park Biomass Plant,Operational,Operational,0.12972987690758278,52.397914571699275,Biomass (dedicated),40.00,Cambridgeshire,Eastern,England
61,Dyemill Forestry Plantation,Application Withdrawn,Planning Application Withdrawn,-5.1165506598134565,55.519871876804665,Biomass (dedicated),5.00,Strathclyde,Scotland,Scotland
62,Thetford Biomass Power Station 2,Application Refused,Planning Permission Refused,0.7386648241834486,52.43888535651497,Biomass (dedicated),40.00,Norfolk,Eastern,England
63,Eye Biomass Plant,Operational,Operational,1.1277608635328502,52.33343741656932,Biomass (dedicated),14.30,Suffolk,Eastern,England
