,bm_unit,repd_site_name,repd_lat,repd_long,technology_type,capacity,county,region,development_status
50,E_BNWKW-1,Burn of Whilk,58.35676,-3.20385,Wind Onshore,22.5,Highland,Scotland,Operational
51,E_BURWB-1,Burwell - Battery Storage,52.2786,0.31626,Battery,50.0,Cambridgeshire,Eastern,Operational
52,T_BURWS-1,Burwell Solar Farm,52.284,0.30403,Solar Photovoltaics,49.9,Cambridgeshire,Eastern,Under Construction
53,V__NHABI005,Camilla Battery Storage,56.10897,-3.26616,Battery,49.99,Fife,Scotland,Operational
54,2__PEDGE003,Camster,58.40865,-3.27151,Wind Onshore,50.0,Highland,Scotland,Operational
55,T_PINFB-1,"Capenhurst Lane, Capenhurst - Battery storage",53.2679,-2.95031,Battery,57.0,Cheshire,North West,Under Construction
56,T_PINFB-4,"Capenhurst Lane, Capenhurst - Battery storage",53.2679,-2.95031,Battery,57.0,Cheshire,North West,Under Construction
57,T_PINFB-3,"Capenhurst Lane, Capenhurst - Battery storage",53.2679,-2.95031,Battery,57.0,Cheshire,North West,Under Construction
58,T_PINFB-2,"Capenhurst Lane, Capenhurst - Battery storage",53.2679,-2.95031,Battery,57.0,Cheshire,North West,Under Construction
59,T_CRGHW-1,Carraig Gheal,56.33901,-5.29454,Wind Onshore,46.0,Strathclyde,Scotland,Operational
60,2__PSMAE001,Causeymire,58.44347,-3.08542,Wind Onshore,48.3,Highland,Scotland,Operational
61,T_LNCSW-2,Centrica (Lincs),53.18417,0.49808,Wind Offshore,270.0,Offshore,Offshore,Operational
62,T_LNCSW-1,Centrica (Lincs),53.18417,0.49808,Wind Offshore,270.0,Offshore,Offshore,Operational
63,E_CLAC-1,Clachan Flats Wind Farm,56.28809,-4.94289,Wind Onshore,15.0,Strathclyde,Scotland,Operational
64,E_CLFLW-1,Clachan Flats Wind Farm,56.28809,-4.94289,Wind Onshore,15.0,Strathclyde,Scotland,Operational
65,E_CLDRW-1,Clashindarroch,57.37103,-2.85794,Wind Onshore,129.0,Grampian,Scotland,Revised
66,E_CLDRW-1,Clashindarroch,57.36648,-2.86615,Wind Onshore,37.0,Grampian,Scotland,Operational
67,E_CLDRW-1,Clashindarroch 2,57.38397,-2.93309,Wind Onshore,77.0,Grampian,Scotland,Awaiting Construction
68,T_CLDCW-1,Clyde Wind Farm,55.44163,-3.54273,Wind Onshore,350.0,Strathclyde,Scotland,Operational
69,T_CLDNW-1,Clyde Wind Farm,55.44163,-3.54273,Wind Onshore,350.0,Strathclyde,Scotland,Operational
70,T_CLDSW-1,Clyde Wind Farm,55.44163,-3.54273,Wind Onshore,350.0,Strathclyde,Scotland,Operational
71,E_CNCLW-1,Coire Na Cloiche Wind Farm,57.76962,-4.37316,Wind Onshore,29.9,Highland,Scotland,Operational
72,E_CORB-1,Corby Biomass Plant,52.50861,-0.67832,Biomass (dedicated),14.3,Northamptonshire,East Midlands,Abandoned
73,T_CGTHW-1,Corriegarth,57.19008,-4.35964,Wind Onshore,69.5,Highland,Scotland,Operational
74,T_CRMLW-1,Corriemoillie,57.66873,-4.77302,Wind Onshore,54.4,Highland,Scotland,Operational
75,T_CDCL-1,Cottam Wind Farm,53.31057,-0.80286,Wind Onshore,27.6,Nottinghamshire,East Midlands,Revised
