total_curtailment,total_pn,total_extra,fuelType,time
0.0,-1.443966666666667,-0.05418333333333334,,2025-10-01 16:30:00
0.00018333333333333334,-1.562833333333334,-0.19671166666666673,,2025-10-01 18:15:00
0.0,-1.2567833333333334,-0.01525,,2025-10-01 21:15:00
0.0,-0.7446000000000003,-0.04346666666666667,,2025-10-02 07:00:00
0.12460000000000002,-0.5719333333333334,0.0,,2025-10-02 10:30:00
0.0135,-0.5971500000000001,-0.0033500000000000005,,2025-10-02 12:30:00
0.004500000000000001,-1.3144,0.0,,2025-10-03 00:45:00
0.03841666666666667,-0.9483666666666668,-3.3333333333333335e-05,,2025-10-03 04:00:00
0.004333333333333335,-1.8714833333333334,-0.05771666666666667,,2025-10-04 06:30:00
0.003000000000000001,-1.7549,-0.13248333333333334,,2025-10-04 15:00:00
0.003000000000000001,-1.5737499999999998,-0.11756111111111112,,2025-10-04 19:00:00
0.003000000000000001,-1.4541666666666664,-0.10770000000000002,,2025-10-04 23:45:00
0.0,-1.5711833333333334,-0.10433333333333333,,2025-10-05 05:15:00
0.0,-0.7904666666666667,0.0,,2025-10-05 15:45:00
0.0032000000000000006,-1.3248833333333336,0.0,,2025-10-06 12:00:00
0.00425,-1.2952666666666672,-0.0013500000000000003,,2025-10-06 14:45:00
0.002016666666666667,-1.2246500000000005,-0.08512777777777779,,2025-10-06 16:30:00
0.00825,-1.46905,-0.14938939393939396,,2025-10-07 04:45:00
0.0155,-1.6735999999999998,-0.07995833333333335,,2025-10-07 05:45:00
0.00019999999999999998,-1.580216666666667,-0.04763333333333334,,2025-10-07 07:45:00
0.0,-1.6125999999999994,-0.009233333333333333,,2025-10-07 09:00:00
0.0,-1.5810333333333337,0.0,,2025-10-08 21:15:00
0.0034500000000000004,-0.7160500000000003,-0.00695,,2025-10-10 09:30:00
0.0032833333333333343,-0.66035,-0.05478333333333334,,2025-10-10 10:00:00
0.0,-0.9830000000000003,-0.037233333333333334,,2025-10-10 16:45:00
0.00465,-0.5083,-0.07343333333333332,,2025-10-10 22:45:00
0.0014166666666666668,-0.16396666666666693,-0.004266666666666667,,2025-10-11 02:30:00
0.0,-0.7356166666666668,-0.10213333333333335,,2025-10-11 21:30:00
0.04095,-0.11149999999999982,0.0,,2025-10-12 02:15:00
0.061116666666666666,-0.1514166666666668,0.0,,2025-10-12 03:15:00
0.00985,-0.29290000000000016,0.0,,2025-10-12 04:45:00
0.0,-0.6236833333333338,-0.05053333333333333,,2025-10-12 07:15:00
0.0,-0.6567666666666666,-0.1256,,2025-10-12 08:15:00
0.0,-0.7368500000000002,-0.08460833333333333,,2025-10-12 12:15:00
0.014716666666666668,-0.9747000000000005,0.0,,2025-10-12 14:15:00
0.11918611111111112,-0.7975500000000004,0.0,,2025-10-13 12:00:00
0.23872833333333338,-0.8993166666666667,0.0,,2025-10-13 18:30:00
0.0,-1.0488000000000004,0.0,,2025-10-14 04:15:00
0.035300000000000005,-1.7007000000000003,-0.0034000000000000002,,2025-10-14 10:00:00
0.023116666666666667,-1.6079000000000006,0.0,,2025-10-15 10:15:00
0.008616666666666668,-1.068616666666667,-0.009833333333333333,,2025-10-15 18:30:00
0.01981666666666667,-1.156316666666667,0.0,,2025-10-15 20:45:00
0.0206,-0.8428666666666668,0.0,,2025-10-15 22:30:00
0.0019666666666666665,-0.8190333333333336,-0.0034500000000000004,,2025-10-17 13:45:00
0.0,-1.3244333333333336,-0.024100000000000003,,2025-10-17 17:45:00
0.0,-1.4591499999999997,-0.10363333333333334,,2025-10-17 19:00:00
0.0,-1.308416666666667,0.0,,2025-10-17 21:30:00
0.0,-0.6606333333333335,-0.12928333333333336,,2025-10-18 11:15:00
0.024633333333333333,-0.980583333333334,0.0,,2025-10-18 17:15:00
1.6666666666666667e-05,-0.8139500000000003,-0.07043333333333333,,2025-10-19 17:30:00
0.0004,-0.8063833333333339,-0.04543333333333332,,2025-10-19 18:30:00
0.0,-0.31421666666666637,-0.13860000000000003,,2025-10-20 00:45:00
0.041716666666666666,-0.23466666666666675,-0.009750000000000002,,2025-10-20 21:15:00
0.0,-1.3584166666666668,-0.0039833333333333335,,2025-10-22 11:15:00
0.0005833333333333334,-1.3361500000000002,-0.0329,,2025-10-22 12:15:00
0.0,-1.3227500000000003,-0.06031666666666667,,2025-10-22 12:45:00
0.02686666666666667,-0.640816666666667,-0.023278571428571433,,2025-10-22 15:15:00
0.09501666666666668,-0.17505000000000004,0.0,,2025-10-22 22:30:00
0.04396666666666667,-0.8202833333333333,0.0,,2025-10-24 11:15:00
0.0,-1.30705,-0.04688333333333333,,2025-10-25 01:00:00
0.0,-1.6971000000000003,-0.1463,,2025-10-25 13:15:00
0.02365,-0.8512666666666662,0.0,,2025-10-26 09:30:00
0.05830000000000002,-0.37633333333333335,0.0,,2025-10-26 13:30:00
0.07454999999999999,-0.5480500000000003,-0.0002666666666666667,,2025-10-26 16:00:00
0.027833333333333335,-0.9929333333333331,0.0,,2025-10-27 01:45:00
0.0,-0.8461999999999998,-0.020466666666666668,,2025-10-27 14:45:00
0.00045000000000000004,-0.9227833333333342,-0.06463333333333335,,2025-10-27 17:30:00
0.0099,-1.5426833333333332,-0.028616666666666665,,2025-10-28 11:45:00
0.003150000000000001,-1.4206666666666663,-0.00915,,2025-10-28 12:00:00
0.025750000000000002,-1.1479666666666668,0.0,,2025-10-28 20:45:00
0.03528333333333333,-0.9874333333333333,0.0,,2025-10-29 06:15:00
0.0009,-1.4391999999999998,-0.21828333333333333,,2025-10-29 19:30:00
