,site_name,code,lat,long,repd_site_name,repd_technology_type,repd_lat,repd_long,repd_capacity,match_type,Accepted
74,Minnygap Wind Farm,MYGPW-1,,,Minnygap,Wind Onshore,55.24876801079650,-3.5148021405721200,25.00,exact,y
74,Minnygap Wind Farm,MYGPW-1,,,Minnygap,Wind Onshore,55.24876801079650,-3.5148021405721200,30.00,exact,y
75,Rugeley B Power Station,RUGGT-6,,,,,,,,,
76,Rugeley B Power Station,RUGGT-7,,,,,,,,,
77,Rugeley B Power Station,RUGPS-6,,,,,,,,,
78,Rugeley B Power Station,RUGPS-7,,,,,,,,,
79,Cowley Battery Storage,COWB-1,51.709925,-1.189058,,,,,,,
80,Redfield Road Gas Generation Plant,RDFRB-1,,,,,,,,,
81,Redfield Road Gas Generation Plant,RDFRD-1,,,,,,,,,
82,Tremorfa Steelworks,TRMFD-1,,,,,,,,,
83,Bloxwich Battery,ARNKB-1,,,,,,,,,
84,Pen y Cymoedd Battery,PNYCB-1,,,Pen Y Cymoedd,Wind Onshore,51.655542916331700,-3.695730196024750,228.00,exact,n
85,Aylesford Battery,AG-ZEN03J,,,,,,,,,
86,Pillswood Battery,PILLB-1,,,,,,,,,
87,Pillswood Battery,PILLB-2,,,,,,,,,
88,Clunie Cascade,CAS-CLU01,,,,,,,,,
89,Bustleholme Battery,BUSTB-1,,,,,,,,,
90,Thurcroft Battery,AG-MFLX02,,,,,,,,,
91,Mannington Battery Storage,AG-HEDF01,,,,,,,,,
92,Skelmersdale Battery,SKELB-1,,,,,,,,,
93,Enderby Storage,BFSE01,,,,,,,,,
94,Creyke Beck Battery Storage,AG-MSTK01,,,Creyke Beck,Battery,53.79827215161370,-0.4210176900401620,49.90,exact,y
95,Lester Way Power Plant,LSTWY-1,,,,,,,,,
96,The Drove Power Plant,TDRVE-1,,,,,,,,,
97,Red Scar Peaking Plant,RDSCR-1,,,,,,,,,
98,Red Scar Battery Storage,AG-HEL00G,,,,,,,,,
99,Hunningley Stairfoot BESS,BARNB-1,53.54841,-1.45007,,,,,,,
100,Dinorwig Power Station,DINO-1,53.117842582,-4.107341766,Dinorwig,Pumped Storage Hydroelectricity,53.11860668436700,-4.1138927336729,1728.00,exact,y
101,Dinorwig Power Station,DINO-2,53.117842582,-4.107341766,Dinorwig,Pumped Storage Hydroelectricity,53.11860668436700,-4.1138927336729,1728.00,exact,y
102,Dinorwig Power Station,DINO-3,53.117842582,-4.107341766,Dinorwig,Pumped Storage Hydroelectricity,53.11860668436700,-4.1138927336729,1728.00,exact,y
103,Dinorwig Power Station,DINO-4,53.117842582,-4.107341766,Dinorwig,Pumped Storage Hydroelectricity,53.11860668436700,-4.1138927336729,1728.00,exact,y
104,Dinorwig Power Station,DINO-5,53.117842582,-4.107341766,Dinorwig,Pumped Storage Hydroelectricity,53.11860668436700,-4.1138927336729,1728.00,exact,y
105,Dinorwig Power Station,DINO-6,53.117842582,-4.107341766,Dinorwig,Pumped Storage Hydroelectricity,53.11860668436700,-4.1138927336729,1728.00,exact,y
106,Peterhead Power Station,PEHE-1,57.4772,-1.78888,,,,,,,
107,Peterhead Power Station,PEHE-2,57.4772,-1.78888,,,,,,,
