name,bm_unit,lat,long
Torness Nuclear Power Station,TORND-1,55.968,-2.40908
Hinkley Point B Nuclear Power Station,HINB-7,51.2088898,-3.1280887
Hinkley Point B Nuclear Power Station,HINB-8,51.2088898,-3.1280887
Hinkley Point B Nuclear Power Station,HINBD-1,51.2088898,-3.1280887
Drax power station,DRAXD-2,53.7358,-0.996389
Drax power station,DRAXX-1,53.7358,-0.996389
Drax power station,DRAXX-2,53.7358,-0.996389
Drax power station,DRAXX-3,53.7358,-0.996389
Drax power station,DRAXX-4,53.7358,-0.996389
Drax power station,DRAXX-5,53.7358,-0.996389
Drax power station,DRAXX-6,53.7358,-0.996389
Joint European Torus,CULJD-1,51.659166666,-1.226388888
Joint European Torus,CULJD-1,51.75484,-1.237215
Robin Rigg Wind Farm,RREW-1,54.75,-3.71667
Robin Rigg Wind Farm,RRWW-1,54.75,-3.71667
Wylfa Nuclear Power Station,WYLF-1,53.4167,-4.48333
Wylfa Nuclear Power Station,WYLF-2,53.4167,-4.48333
Wylfa Nuclear Power Station,WYLF-3,53.4167,-4.48333
Wylfa Nuclear Power Station,WYLF-4,53.4167,-4.48333
Isle of Man to England Interconnector,MANXENR-1,54.0,-3.83333
Pembroke B Power Station,PEMB-11,51.6831,-4.98842
Pembroke B Power Station,PEMB-21,51.6831,-4.98842
Pembroke B Power Station,PEMB-31,51.6831,-4.98842
Pembroke B Power Station,PEMB-41,51.6831,-4.98842
Pembroke B Power Station,PEMB-51,51.6831,-4.98842
Race Bank Wind Farm,RCBKO-1,53.275,0.83333333
Race Bank Wind Farm,RCBKO-2,53.275,0.83333333
Medway Power Station,MEDP-1,51.44,0.69
Affric-Beauly hydro-electric power scheme,CAS-BEU01,57.325,-4.794
Anglesey Aluminium,ANGLD-1,,
Arecleoch Wind Farm,ARCHW-1,55.0533,-4.88222
Carrington Power Station,CARR-1,53.4358,-2.41089
Carrington Power Station,CARR-2,53.4358,-2.41089
Connah's Quay Power Station,CNQPS-1,53.2322,-3.0813
Connah's Quay Power Station,CNQPS-2,53.2322,-3.0813
Connah's Quay Power Station,CNQPS-3,53.2322,-3.0813
Connah's Quay Power Station,CNQPS-4,53.2322,-3.0813
Corby Power Station,CORB-1,52.5109,-0.68139
Coryton Power Station,COSO-1,51.512,0.508
Cowes Power Station,COWE1,50.7459,-1.2864
Cowes Power Station,COWE2,50.7459,-1.2864
Crystal Rig Wind Farm,CRYRW-2,55.9,-2.55
