wikidata_site_name,repd_site_name,repd_long,repd_lat
Hywind Scotland,Hywind Scotland Pilot Park (Hywind 2) Demonstrator,-1.4425753613795900,57.50746300002730
Keadby 2 Power Station,Keadby Wind Farm,-0.7636853474568740,53.61179606734910
Keadby Power Station,Keadby Wind Farm,-0.7636853474568740,53.61179606734910
Keadby Power Station,Keadby Wind Farm,-0.7636853474568740,53.61179606734910
Kilbraur Wind Farm,Kilbraur Windfarm,-4.058804857595990,58.04040163757690
Kilbraur Wind Farm,Kilbraur Windfarm Farlary - Extension,-3.978663007893790,57.9923859389047
Kilbraur Wind Farm,South Kilbraur Wind Farm,-4.061733891148260,58.03566442269130
Kincardine Offshore Wind Farm,Kincardine Offshore Windfarm,-1.873801048322220,56.99728039212570
Kinlochleven Power Station,Kinlochleven Hydro Power Station,-4.96340569912976,56.714572664340600
Langage Power Station,Langage Energy Park - Hydrogen Production Facility,-4.011373390920630,50.389771121190300
Lincs Wind Farm,Centrica (Lincs),0.49807700216191600,53.1841724387018
Lochaber hydroelectric scheme,Lochaber,-5.072590360025990,56.829058038443200
London Array,London Array Phase 1,1.4958316372825300,51.621679300914000
London Array,London Array Phase 2,1.0407684872990600,51.47158009282260
Lochluichart Wind Farm,Lochluichart,-4.816701149722270,57.65459417039500
Lochluichart Wind Farm,Lochluichart (Extension),-4.841364086551650,57.68011343522540
Lochluichart Wind Farm,Lochluichart Extension II,-4.810592686433190,57.67466307098420
Lochluichart Wind Farm,Lochluichart Wind Farm Extension 2,-4.767591644632260,57.69345921871520
Markinch Biomass Plant,Markinch Biomass CHP Plant,-3.162254966067160,56.20118041065020
Mid Hill Wind Farm,Mid Hill I,-2.4861638184983100,56.96877477323680
Mid Hill Wind Farm,Fetteresso Wind Farm (Mid Hill 3),-2.3473729586701300,56.9644133044325
Mid Hill Wind Farm,Mid Hill - Phase II,-2.4861638184983100,56.96877477323680
Millennium Wind Farm,Millennium Extension,-4.891170685923520,57.15020001193860
Millennium Wind Farm,Millennium Extension II,-4.883641231931060,57.15522678150700
Moray West Offshore Wind Farm,Moray West Offshore Wind Farm Project,-3.313066434753210,58.06988779060060
Moriston Hydroelectric Scheme,Great Glen Scheme,-4.721325142179420,57.20163354147990
North Kyle Wind Farm,"Breezy Hill, North Kyle Forest Estate - Wind Turbines ",-4.406141196644440,55.32376268526210
North Kyle Wind Farm,North Kyle Energy Project,-4.359660294729490,55.351733647178400
Ormonde Wind Farm,Ormonde Offshore,-3.438590299125100,54.08887184061230
Paul's Hill Wind Farm,Paul's Hill and Extension,-3.4762072217469600,57.44615230158720
Paul's Hill Wind Farm,Pauls Hill 2,-3.4762072217469600,57.44615230158720
Pogbie Wind Farm,Pogbie Wind Farm 1,-2.833022462855170,55.821847948471
Pogbie Wind Farm,Pogbie Wind Farm 2,-2.8421014442512900,55.839451181039400
Race Bank Wind Farm,Race Bank (Phase 1),0.5891743756243720,53.13597422722280
Race Bank Wind Farm,Race Bank (Phase 2),0.5891743756243720,53.13597422722280
Rampion Wind Farm,Rampion Offshore Wind Farm (Hastings Zone),-0.18000325851508200,50.639993607481600
Rampion Wind Farm,"Rampion Wind Farm (Extension), (Rampion 2)",-0.18000325851508200,50.639993607481600
Rheidol Power Station,Rheidol Wind Farm,-3.8772282090321100,52.40758102505450
Robin Rigg Wind Farm,Robin Rigg East,-3.695519374435600,54.76419372170650
Robin Rigg Wind Farm,Robin Rigg West,-3.72930572308968,54.747304715519400
Rosehall Wind Farm,Rosehall Hill Forest Windfarm,-4.546950243728650,57.995624776435700
Rothes Wind Farm,Rothes Wind (Cairn Uish),-3.362957508939730,57.537263750192800
Rothes Wind Farm,Rothes Wind Farm (Extension) (II),-3.362957508939730,57.537263750192800
Rothes Wind Farm,Rothes Wind Farm III,-3.3204007461124300,57.51525742392160
Rugeley B Power Station,Rugeley Power Plant Conversion,-1.9129710610383700,52.75395602852580
Sanquhar Community Wind Farm,Sanquhar Community Windfarm,-4.0465703479660300,55.34417698550060
Solutia District Energy,Solutia UK Ltd,-2.9626159436300300,51.56658052283790
Sloy Power Station,Sloy Hydroelectric Power Station - Pumped Hydro Conversion,-4.833848992986930,56.080727702548700
Tom na Clach Wind Farm,Tom Na Clach - Wind Farm Extension,-3.887933297771580,57.384583341633200
Tullo Wind Farm,Tullo Farm,-2.2107583566110300,56.96390980526240
Tullo Wind Farm,Tullo Wind Farm North Extension (Shiels Wind Farm),-2.4101216596856300,56.843997671099200
Tullo Wind Farm,Tullo Wind Farm South (Ext.),-2.4048936889857000,56.82742212676150
Tralorg Wind Farm,Tralorg Wind Farm,-4.8061708857371200,55.2497706457218
Walney Wind Farm,Walney 1,-3.515788862345330,54.03944862079490
Walney Wind Farm,Walney 2,-3.6089668525141200,54.0807359983877
Walney Wind Farm,Walney 3,-3.7400106467008300,54.089994661952900
Westermost Rough Wind Farm,Westermost Rough A,0.5614812934582970,53.097730204706000
Wilton power stations,Wilton,-1.0806947072073200,54.57663081745350
Wilton power stations,Wilton 11 EfW,-1.0967260930948500,54.56735093089090
Wilton power stations,Wilton Centre (Waste AD),-1.0967260930948500,54.56735093089090
Wilton power stations,Wilton International,-1.0967260930948500,54.56735093089090
