,site_name,code,lat,long,repd_site_name,repd_technology_type,repd_lat,repd_long,repd_capacity,match_type,Accepted
92,Skelmersdale Battery,SKELB-1,,,,,,,,,
93,Enderby Storage,BFSE01,,,,,,,,,
95,Lester Way Power Plant,LSTWY-1,,,,,,,,,
96,The Drove Power Plant,TDRVE-1,,,,,,,,,
97,Red Scar Peaking Plant,RDSCR-1,,,,,,,,,
98,Red Scar Battery Storage,AG-HEL00G,,,,,,,,,
99,Hunningley Stairfoot BESS,BARNB-1,53.54841,-1.45007,,,,,,,
106,Peterhead Power Station,PEHE-1,57.4772,-1.78888,,,,,,,
107,Peterhead Power Station,PEHE-2,57.4772,-1.78888,,,,,,,
112,Sizewell B power station,SIZB-1,52.215,1.61972,,,,,,,
113,Sizewell B power station,SIZB-2,52.215,1.61972,,,,,,,
114,Heysham 1 power station,HEYM11,54.0304,-2.91719,,,,,,,
115,Heysham 1 power station,HEYM12,54.0304,-2.91719,,,,,,,
116,Heysham 2 power station,HEYM27,54.0273,-2.91504,,,,,,,
117,Heysham 2 power station,HEYM28,54.0273,-2.91504,,,,,,,
118,Heysham 2 power station,HEYM2D-1,54.0273,-2.91504,,,,,,,
119,Dungeness B power station,DNGB21,50.9134,0.95976,,,,,,,
120,Dungeness B power station,DNGB22,50.9134,0.95976,,,,,,,
121,Dungeness B power station,DNGBD-1,50.9134,0.95976,,,,,,,
122,Conon Valley Hydro Electric Scheme,CAS-CON01,57.554,-4.598,,,,,,,
123,Finlarig power station,FINL-1,56.4816,-4.29872,,,,,,,
124,Hornsea Two Offshore Wind Farm,HOWBO-1,53.91,1.5518,,,,,,,
125,Hornsea Two Offshore Wind Farm,HOWBO-2,53.91,1.5518,,,,,,,
126,Hornsea Two Offshore Wind Farm,HOWBO-3,53.91,1.5518,,,,,,,
127,Griffin Wind Farm,GRIFW-1,56.583251,-3.7435659,Griffin Wind farm,Wind Onshore,56.581222522433,-3.7337523701724800,156.00,exact,y
128,Griffin Wind Farm,GRIFW-2,56.583251,-3.7435659,Griffin Wind farm,Wind Onshore,56.581222522433,-3.7337523701724800,156.00,exact,y
132,Moy Wind Farm,MOYEW-1,57.406964,-4.0154701,Moy Wind Farm,Wind Onshore,57.388833752549000,-4.048801273033510,40.00,exact,y
139,Stronelairg Wind Farm,STLGW-1,,,Stronelairg Wind Farm,Wind Onshore,57.126924519131,-4.5263699907224100,227.70,exact,y
140,Stronelairg Wind Farm,STLGW-2,,,Stronelairg Wind Farm,Wind Onshore,57.126924519131,-4.5263699907224100,227.70,exact,y
141,Stronelairg Wind Farm,STLGW-3,,,Stronelairg Wind Farm,Wind Onshore,57.126924519131,-4.5263699907224100,227.70,exact,y
142,Dorenell Wind Farm,DOREW-1,,,,,,,,,
143,Dorenell Wind Farm,DOREW-2,,,,,,,,,
145,Bhlaraidh Wind Farm,BHLAW-1,57.2456,-4.7158,,,,,,,
146,Dogger Bank A Wind Farm,DBAWO-3,54.7489,1.9301,,,,,,,
147,Dogger Bank A Wind Farm,DBAWO-4,54.7489,1.9301,,,,,,,
148,Dogger Bank A Wind Farm,DBAWO-5,54.7489,1.9301,,,,,,,
149,South Kyle Wind Farm,SOKYW-1,,,South Kyle Wind Farm,Wind Onshore,55.317334518247500,-4.293183075218490,240.00,exact,y
150,Dunmaglass Wind Farm,DUNGW-1,,,Dunmaglass Wind Farm,Wind Onshore,57.25148006944490,-4.255802337851780,94.00,exact,y
151,Brockloch Rig Wind Farm,WISTW-2,,,,,,,,,
152,Kype Muir Wind Farm,KPMRW-1,,,Kype Muir Wind Farm,Wind Onshore,55.63265161671260,-4.036104942819620,88.40,exact,y
153,Kype Muir Wind Farm,KYPEW-1,,,Kype Muir Wind Farm,Wind Onshore,55.63265161671260,-4.036104942819620,88.40,exact,y
155,Creag Riabhach Wind Farm,CREAW-1,,,Creag Riabhach Wind Farm,Wind Onshore,58.21930056281830,-4.511210384197760,92.40,exact,y
163,Paul's Hill Wind Farm,PAUHW-1,,,,,,,,,
164,Kennoxhead Wind Farm,KENNW-1,,,Kennoxhead Wind Farm,Wind Onshore,55.49791780961520,-3.946310091899980,62.00,exact,y
166,Moray West Offshore Wind Farm,MOWWO-1,58.094,-2.988,,,,,,,
167,Moray West Offshore Wind Farm,MOWWO-2,58.094,-2.988,,,,,,,
168,Moray West Offshore Wind Farm,MOWWO-3,58.094,-2.988,,,,,,,
169,Moray West Offshore Wind Farm,MOWWO-4,58.094,-2.988,,,,,,,
171,Aikengall Community Wind Farm,AKGLW-1,,,,,,,,,
172,Aikengall Community Wind Farm,AKGLW-2,,,,,,,,,
173,Aikengall Community Wind Farm,AKGLW-3,,,,,,,,,
