time,total_curtailment,total_pn,total_extra,imbalance
2025-09-30T23:00:00.000000,-0.7692333333333334,6.41045,0.9699749999999999,0.20074166666666649
2025-10-01T00:00:00.000000,-3.7587333333333333,16.522083333333338,4.349683333333332,0.590949999999999
2025-10-01T01:00:00.000000,-4.1501,16.497783333333334,4.170089285714286,0.01998928571428582
2025-10-01T02:00:00.000000,-4.263534523809525,17.005100000000006,3.851484375,-0.4120501488095245
2025-10-01T03:00:00.000000,-4.304016666666667,16.613116666666667,4.139012500000001,-0.16500416666666595
2025-10-01T04:00:00.000000,-4.187383333333333,16.826133333333335,3.982840753968254,-0.20454257936507902
2025-10-01T05:00:00.000000,-3.880608333333333,20.043783333333337,3.447668373015873,-0.43293996031745996
2025-10-01T06:00:00.000000,-4.167000000000001,21.50235,4.503572495791247,0.3365724957912466
2025-10-01T07:00:00.000000,-3.861341666666667,21.511499999999998,4.0173267700817705,0.1559851034151034
2025-10-01T08:00:00.000000,-3.2558874999999996,22.050416666666667,3.12360684765892,-0.13228065234107955
2025-10-01T09:00:00.000000,-2.7904750000000003,21.58296666666667,3.192445899470899,0.4019708994708986
2025-10-01T10:00:00.000000,-2.723283333333333,21.33558333333334,2.7475050925925926,0.024221759259259734
2025-10-01T11:00:00.000000,-2.5959416666666666,21.2281,1.6860096491228074,-0.9099320175438592
2025-10-01T12:00:00.000000,-2.8280833333333333,20.128466666666665,1.4879230769230771,-1.3401602564102562
2025-10-01T13:00:00.000000,-2.5241583333333333,19.508516666666665,1.72072061965812,-0.8034377136752133
2025-10-01T14:00:00.000000,-2.35695,20.16828333333333,2.397658888888889,0.04070888888888913
2025-10-01T15:00:00.000000,-2.019725,23.145066666666672,2.1028500000000006,0.08312500000000034
2025-10-01T16:00:00.000000,-1.8229333333333333,25.378033333333335,1.6975500000000003,-0.12538333333333296
2025-10-01T17:00:00.000000,-2.0576000000000003,25.864233333333335,2.3686242063492062,0.3110242063492059
2025-10-01T18:00:00.000000,-2.5266083333333333,25.445050000000002,2.874717142857143,0.3481088095238096
2025-10-01T19:00:00.000000,-2.3562583333333333,24.952550000000006,2.0205733333333336,-0.3356849999999998
2025-10-01T20:00:00.000000,-2.7246083333333333,22.951716666666666,2.6006767676767675,-0.12393156565656582
2025-10-01T21:00:00.000000,-2.865357142857143,20.458566666666666,2.213982142857143,-0.6513749999999998
2025-10-01T22:00:00.000000,-3.0451083333333337,17.24146666666667,2.4624454678362575,-0.5826628654970762
2025-10-01T23:00:00.000000,-3.3824000000000005,16.55633333333334,2.53610701754386,-0.8462929824561405
2025-10-02T00:00:00.000000,-3.4915333333333325,15.666533333333337,3.4029833333333337,-0.0885499999999988
2025-10-02T01:00:00.000000,-3.5534,15.238983333333334,3.1336500000000003,-0.4197499999999996
2025-10-02T02:00:00.000000,-3.586616666666667,15.351299999999997,3.0778999999999996,-0.5087166666666674
2025-10-02T03:00:00.000000,-2.7606083333333338,15.528433333333334,3.10105,0.3404416666666661
2025-10-02T04:00:00.000000,-2.2841583333333335,17.11906666666667,2.3942803030303033,0.11012196969696975
2025-10-02T05:00:00.000000,-1.7670765384615386,19.284133333333337,2.5586063636363643,0.7915298251748257
2025-10-02T06:00:00.000000,-2.1944715384615385,21.785849999999996,2.321284523809524,0.12681298534798557
2025-10-02T07:00:00.000000,-1.1240999999999999,20.551066666666667,1.88412380952381,0.7600238095238101
2025-10-02T08:00:00.000000,-1.2868,20.63685,1.4282500000000007,0.14145000000000074
2025-10-02T09:00:00.000000,-1.2266133333333333,19.71186666666667,1.4479500000000005,0.22133666666666718
2025-10-02T10:00:00.000000,-1.2825933333333333,17.647299999999998,1.8244833333333337,0.5418900000000004
2025-10-02T11:00:00.000000,-1.5828416666666667,17.37465,1.4708333333333334,-0.11200833333333327
2025-10-02T12:00:00.000000,-1.2768916666666665,17.098783333333333,1.6559666666666668,0.3790750000000003
2025-10-02T13:00:00.000000,-1.5837583333333334,17.49391666666667,1.9061666666666668,0.3224083333333334
2025-10-02T14:00:00.000000,-2.716541666666666,18.746083333333335,3.1081016666666668,0.3915600000000006
2025-10-02T15:00:00.000000,-3.7862861111111106,21.598433333333332,3.671900595238095,-0.11438551587301538
2025-10-02T16:00:00.000000,-5.281680555555555,24.281666666666656,4.142476388888889,-1.1392041666666657
2025-10-02T17:00:00.000000,-6.119400000000001,24.844649999999994,4.701356944444446,-1.4180430555555548
2025-10-02T18:00:00.000000,-6.3390916666666675,25.483816666666662,4.739626250562305,-1.5994654161043629
2025-10-02T19:00:00.000000,-6.923141666666668,23.79208333333333,6.091293055555556,-0.8318486111111119
2025-10-02T20:00:00.000000,-7.002601666666667,21.405583333333336,6.735303773322194,-0.2672978933444732
2025-10-02T21:00:00.000000,-6.812158333333334,20.276250000000005,6.7708434523809515,-0.04131488095238289
2025-10-02T22:00:00.000000,-6.307325000000002,18.34218333333333,5.86288086611456,-0.4444441338854421
2025-10-02T23:00:00.000000,-5.605758333333333,18.42791666666667,5.0887601662404105,-0.5169981670929227
2025-10-03T00:00:00.000000,-5.429233333333335,18.348083333333328,4.610966666666667,-0.818266666666668
2025-10-03T01:00:00.000000,-5.182925000000002,17.934266666666662,4.59742,-0.5855050000000022
2025-10-03T02:00:00.000000,-4.624691666666665,17.383866666666666,3.765568888888889,-0.8591227777777761
2025-10-03T03:00:00.000000,-4.283741666666668,16.927766666666667,3.268333333333334,-1.0154083333333337
2025-10-03T04:00:00.000000,-3.458891666666667,16.6581,3.3857333333333335,-0.07315833333333366
