repd_site_name,repd_lat,repd_long,total_generated,total_curtailment,total_pn,capacity,bm_unit,below_b6,curtailment_ratio
Andershaw,55.50933,-3.84626,72.76642,-2.62822,75.3946,36.0,E_ASHWW-1,false,0.03485952574852841
Stronelairg Wind Farm,57.12692,-4.52637,473.80006000000003,-94.09071,567.89075,227.7,"T_STLGW-2,T_STLGW-1,T_STLGW-3",false,0.16568452646921963
Clachan Flats Wind Farm,56.28809,-4.94289,71.10037,-10.38939,79.10758,15.0,"E_CLFLW-1,E_CLAC-1",false,0.13133242098924022
Limekiln Wind Farm (Extension),58.52844,-3.71381,93.42597,-87.39195,180.81092,21.0,T_LIMKW-1,false,0.4833333628300768
Tom Na Clach - Wind Farm Extension,57.38458,-3.88793,110.75859,-24.02392,134.78237,31.5,C__PSTAT011,false,0.17824230275814265
Mark Hill,55.12837,-4.74631,71.65288,-7.07503,78.72792,56.0,T_MKHLW-1,false,0.0898668477460093
South Kyle Wind Farm,55.31733,-4.29318,327.6701,-116.88801,444.55742,240.0,T_SOKYW-1,false,0.262931186706995
Walney 3,54.08999,-3.74001,2944.56267,-5.59788,2947.71453,659.0,"T_WLNYO-4,T_WLNYW-1,T_WLNYO-3,T_WLNYO-2",true,0.0018990577082781486
Dalquhandy Windfarm,55.18061,-4.90958,75.43285,-14.83,90.26237,45.0,T_DALQW-1,false,0.16429881023509574
Black Law,55.76219,-3.76257,234.70593,-30.66062,265.3664,124.0,"T_BLLA-1,T_BLLA-2",false,0.11554070146032053
Freasdail Wind Farm,55.77701,-5.47064,47.35528,0.0,47.35528,22.5,T_FSDLW-1,false,-0.0
Hagshaw Hill Wind Farm,55.55528,-3.92008,34.4231,0.0,34.4231,7.8,T_HAHAW-1,false,-0.0
London Array Phase 1,51.62168,1.49583,1550.10138,-11.69356,1561.79492,630.0,"T_LARYW-1,T_LARYW-3,T_LARYW-2,T_LARYW-4",true,0.007487257033721175
Harestanes,55.23903,-3.5742,173.14678,-19.15018,192.29697,136.0,T_HRSTW-1,false,0.09958648854425528
Edinbane Wind Farm,57.46913,-6.43221,60.50777,-19.23735,79.74477,41.4,T_EDINW-1,false,0.24123650993036908
Lochluichart (Extension),57.68011,-4.84136,101.63167,-22.96436,124.59518,18.0,T_LCLTW-1,false,0.1843117847736967
Solutia UK Ltd,51.56658,-2.96262,1.76607,-0.02423,1.32373,5.0,E_SOLUTIA,true,0.018304336987149946
Brochloch Rig (formerly Windy Standard II),55.29221,-4.20315,146.60549,-19.84711,166.45218,90.0,T_WISTW-2,false,0.11923610733124673
Hill of Towie (Drummuir),57.62284,-3.34105,78.30692,-3.5918,81.89863,48.0,E_HLTWW-1,false,0.04385665547763131
Carraig Gheal,56.33901,-5.29454,84.76072,-13.98272,98.74302,46.0,T_CRGHW-1,false,0.14160717385390886
Dudgeon Extension Project,53.14934,1.18427,1216.31388,0.0,1216.31388,402.0,"T_DDGNO-4,T_DDGNO-2,T_DDGNO-3,T_DDGNO-1",true,-0.0
Hagshaw Hill Wind Farm,55.55537,-3.92033,34.4231,0.0,34.4231,7.8,T_HAHAW-1,false,-0.0
West of Duddon Sands,53.98515,-3.46201,1154.88859,-1.24626,1156.13485,389.0,"T_WDNSO-1,T_WDNSO-2",true,0.0010779538390352993
Fallago Rig,55.83131,-2.68803,314.0909,-24.354,338.44432,144.0,T_FALGW-1,false,0.0719586607333224
Dunmaglass Wind Farm,57.25148,-4.2558,212.04416,-43.82742,255.87158,94.0,T_DUNGW-1,false,0.17128678378427178
Galloper Wind Farm,51.87999,2.03999,1151.63052,-0.06338,1151.6939,353.0,"T_GANW-22,T_GANW-13,T_GANW-24,T_GANW-11",true,0.000055031983758878994
"Rampion Wind Farm (Extension), (Rampion 2)",50.63999,-0.18,1090.4407999999999,-3.7807000000000004,1094.2215,1200.0,"T_RMPNO-1,T_RMPNO-2",true,0.0034551505339641014
Thanet,51.42993,1.63341,609.50708,-2.3417000000000003,611.84879,300.0,"T_THNTO-2,T_THNTO-1",true,0.0038272528086555507
Arecleoch Wind Farm (extension),55.06878,-4.79705,165.53987,-11.04718,176.58697,73.0,T_ARCHW-1,false,0.06255942893181757
Moray West Offshore Wind Farm Project,58.06989,-3.31307,979.44669,-1163.82927,2143.27052,882.0,"T_MOWWO-3,T_MOWWO-2,T_MOWWO-1,T_MOWWO-4",false,0.5430155732277789
Sandy Knowe Wind Farm,55.37215,-4.05134,466.21848,-108.47144,574.6822,49.4,"T_SAKNW-1,T_SAKNW-1,T_SAKNW-1,T_SAKNW-1",false,0.1887503040811078
Wilton,54.57663,-1.08069,-10.72207,0.0,-10.72207,6.6,T_WILCT-1,true,0.0
Dudgeon East,53.11746,0.61347,1216.31388,0.0,1216.31388,402.0,"T_DDGNO-4,T_DDGNO-1,T_DDGNO-2,T_DDGNO-3",true,-0.0
Burn of Whilk,58.35676,-3.20385,49.02453,-7.6061,56.63052,22.5,E_BNWKW-1,false,0.1343109687143964
Pauls Hill 2,57.44615,-3.47621,108.5525,-28.21597,136.76822,28.0,2__PENEC002,false,0.20630501734979073
Rothes Wind Farm III,57.51526,-3.3204,130.02229,-51.069419999999994,181.09096,132.0,"2__PENEC001,2__PSTAT001",false,0.28200977011773526
Corriegarth,57.19008,-4.35964,115.81279,-41.84996,157.66182,69.5,T_CGTHW-1,false,0.2654413097603466
Walney 2,54.08074,-3.60897,3443.09245,-5.9067,3446.55298,183.6,"T_WLNYO-2,T_WLNYO-2,T_WLNYO-4,T_WLNYO-3,T_WLNYW-1",true,0.00171379927547204
Broken Cross (Former Surface Mine),55.6045,-3.81617,62.41925,-18.67167,81.09043,48.0,T_BROCW-1,false,0.23025738055649722
Hare Hill (East Ayrshire),55.3628,-4.12628,48.9885,-7.14805,56.13655,13.2,E_HRHLW-1,false,0.12733326148471896
Minnygap,55.24877,-3.5148,79.60954,-1.54266,81.15216,25.0,"T_MYGPW-1,T_MYGPW-1",false,0.019009475533368427
Race Bank (Phase 2),53.13597,0.58917,1509.21742,-0.48036999999999996,1509.6964200000002,283.5,"T_RCBKO-1,T_RCBKO-2",true,0.00031818979871463157
Whitelee,55.68121,-4.27906,768.39481,-61.4121,829.80692,322.0,"T_WHILW-1,T_WHILW-2",false,0.07400769807993407
Glen Kyllachy Wind Farm,57.32073,-4.08565,52.62672,-60.26816,112.89425,48.5,T_GLNKW-1,false,0.5338461436255612
Dogger Bank A & B (was Creyke Beck A & B),55.96734,1.66792,1049.87918,0.0,1049.87918,2400.0,"T_DBAWO-1,T_DBAWO-4,T_DBAWO-3,T_DBAWO-5,T_DBAWO-2",true,-0.0
Centrica (Lincs),53.18417,0.49808,725.4159999999999,0.0,725.4159999999999,270.0,"T_LNCSW-1,T_LNCSW-2",true,-0.0
Kilgallioch wind farm,54.98845,-4.80172,473.74721,-66.63576,540.3822,239.0,T_KLGLW-1,false,0.12331227786555517
Pogbie Wind Farm 1,55.82185,-2.83302,20.53777,0.0,20.53777,5.1,T_PGBIW-1,false,-0.0
Beatrice,58.08823,-2.95016,1591.63364,-3.65846,1595.29209,588.0,"T_BEATO-4,T_BEATO-1,T_BEATO-2,T_BEATO-3",false,0.002293285363183867
Triton Knoll,53.21227,0.86164,1861.9185000000002,-3.21744,1854.7781,857.0,"T_TKNWW-1,T_TKNEW-1",true,0.0017346765092816224
Hadyard Hill,55.25682,-4.73191,166.3452,-2.66295,169.00815,120.0,T_HADHW-1,false,0.01575634074451439
"Breezy Hill, North Kyle Forest Estate - Wind Turbines",55.32376,-4.40614,223.0129,0.0,223.0129,100.0,"T_NOKYW-2,T_NOKYW-1",false,-0.0
Middle Muir Wind Farm,55.51289,-3.80402,79.51088,-6.63902,86.14963,51.0,T_MIDMW-1,false,0.07706382488235876
Halsary Wind Farm,58.4309,-3.44445,28.41852,-58.61448,87.03257,34.0,T_HALSW-1,false,0.6734775268614956
Easter Tulloch Wind Farm (Tullo Extension),56.83639,-2.3957,35.03348,-7.10173,42.1351,25.0,E_TULWW-2,false,0.16854665112934347
Tullo Wind Farm North Extension (Shiels Wind Farm),56.844,-2.41012,62.65221,-9.6106,72.26267,7.5,"E_TULWW-2,E_TULWW-1",false,0.13299536261253564
Hornsea 2 - Optimus and Breesea,53.96,1.53999,3778.67227,-59.38219,3821.67422,1320.0,"T_HOWBO-2,T_HOWBO-3,T_HOWBO-1",true,0.01553826584412525
Douglas West and Dalquhandy Renewable Energy Project,55.58736,-3.8901,136.20876,-38.04835,174.25627,49.0,"T_DOUGW-1,T_DALQW-1",false,0.2183470930486461
Baillie Wind Farm,58.56792,-3.67702,62.88325,-35.47703,98.35957,52.5,E_BABAW-1,false,0.3606871197179898
East Anglia 1 North (EA 4),52.13696,2.1728,2256.43773,-2.68796,2259.12568,800.0,"T_EAAO-1,T_EAAO-2",true,0.00118982313547071
An Suidhe,56.21867,-5.21937,35.302,0.0,35.302,19.3,T_ANSUW-1,false,-0.0
Kincardine Offshore Windfarm,56.99728,-1.8738,127.84008,0.0,127.84008,49.5,E_KINCW-1,false,-0.0
Gunfleet Sands II,51.72719,1.24592,371.90439000000003,-0.27978000000000003,372.18408,64.8,"T_GNFSW-1,T_GNFSW-2",true,0.0007517247916676072
Toddleburn,55.76855,-2.87739,51.31928,-0.28952,51.6088,27.6,T_TDBNW-1,false,0.0056098959867309445
Crystal Rig Wind Farm Phase III,55.92641,-2.53448,258.19401999999997,-35.59581,293.78723,13.8,"T_CRYRW-2,T_CRYRW-3",false,0.12116186942502571
Sandy Knowe Wind Farm,55.36893,-4.05055,116.55462,-27.11786,143.67055,90.0,T_SAKNW-1,false,0.1887503040811078
Windy Rig Wind Farm,55.27467,-4.17856,505.67960000000005,-171.70854,677.3848800000001,43.0,"T_WDRGW-1,T_WDRGW-1,T_WDRGW-1,T_WDRGW-1,2__PSTAT001,2__PSTAT001",false,0.253487411765081
Crystal Rig Extension II,55.91289,-2.54549,31.61114,-3.04153,34.65265,20.7,T_CRYRW-3,false,0.08777193086243043
Moy Wind Farm (2nd Application),57.38883,-4.0488,79.18838,-17.65402,96.8422,66.0,E_MOYEW-1,false,0.18229676731837977
Pines Burn Wind Farm,55.35374,-2.73027,130.4081,0.0,130.4081,33.0,E_PIBUW-1,false,-0.0
Pogbie Wind Farm 2,55.83945,-2.8421,20.53777,0.0,20.53777,4.8,T_PGBIW-1,false,-0.0
Gunfleet Sands - (Demo) Extension,51.70301,1.19191,371.90439000000003,-0.27978000000000003,372.18408,12.0,"T_GNFSW-1,T_GNFSW-2",true,0.0007517247916676072
